Unnamed: 0,Periods,AC,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
4,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,0,0.0,0.0,0.0,0.658,0.0,0.0,0.0,0.0,0.0
6,7,0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.14
7,8,0,0.0,0.0,0.0,0.557,0.0,0.0,0.0,0.0,0.14
8,9,0,0.0,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0
9,10,0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0
10,11,0,0.0,0.0,0.0,0.793,0.0,0.0,0.0,0.0,0.0
11,12,0,0.0,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.14
12,13,0,0.0,0.0,0.0,0.418,0.0,0.0,0.0,0.0,0.0
13,14,0,0.0,0.0,0.0,0.397,0.0,0.0,0.0,0.0,0.0
14,15,0,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.14
15,16,0,0.0,0.0,0.0,0.469,0.0,0.0,0.0,0.0,0.0
16,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
18,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
19,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
23,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,26,0,0.0,0.0,0.0,0.0,0.0,0.0,1.88392857142857,0.0,0.0
26,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,28,0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
28,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,33,0,0.0,0.0,0.80391875,0.0,0.0,0.0,0.0,0.0,0.0
33,34,0,0.0,0.0,1.58922499999999,0.0,0.0,0.0,0.0,0.0,0.0
34,35,0,0.0,0.0,0.30928125,0.0,0.0,0.0,0.0,0.0,0.0
